author_id,created_at,text
116025,06_06_2022_23_05,@AskeBay @2598 kindly check the above message and do the needful for your worst service.
AskeBay,06_06_2022_23_05,@116025 Thank you for your reply. The estimate delivery date for this order will be available to view in your ‘Purchase History’.1/2
116025,06_06_2022_23_05,"@115937 Estimated delivery Wed, 25 Oct - Fri, 27 Oct
You have paid using PaisaPay on 21/10/17. 
but i havent received it yet on 1/11/17."
AskeBay,06_06_2022_23_05,@116026 You can always open a claim https://t.co/xlN11csEfc to get the ball rolling on that coverage! ^BB
116026,06_06_2022_23_05,@AskeBay I did that they closed my case have I lost £120 pounds now because of eBay theft and eBay does not care
AskeBay,06_06_2022_23_05,@116026 Well I would be more than happy to take a look at that claim for you. Could you DM us with more details please? ^BB
116026,06_06_2022_23_05,@AskeBay The delivery company is saying they delivered it to my street won't give address the seller is saying she has proof but no one will show me
AskeBay,06_06_2022_23_05,@116026 Hey James - Could you send us a DM with all the information so we can look into that for you? ^BB
116026,06_06_2022_23_05,@AskeBay what option do I have if I bought something on eBay and wasn't delivered and eBay closed my claim to get the money back?
AskeBay,06_06_2022_23_05,@116027 On a desktop go to item page (view item) &gt; Manage Offers &gt; Change offer settings. You can get that going here. ^CC
116027,06_06_2022_23_05,@AskeBay How do I setup automatic declines? Its not listed in your help centre and I’m struggling to find the settings
AskeBay,06_06_2022_23_05,@116027 This is to help sell your items. Be sure to set up Automatic Decline in your settings so you don't have to see low offers. ^CC
116027,06_06_2022_23_05,@AskeBay can you remove the best offer facility from buy it now items?? I am selling items that I do not wish to offer ‘best offer’
DropboxSupport,06_06_2022_23_05,@116028 ...Cancel Dropbox Business. Hope this helps take care of things for you. 😊 2/2
116028,06_06_2022_23_05,@116029 How can I change my work Dropbox account back to a personal account? I tested the trial version now I want my account to be personal again.
116029,06_06_2022_23_05,We’re excited to announce the University of Cambridge is using Dropbox Business to power collaboration. https://t.co/SBIyDSyCDK https://t.co/3f69m3x5gF
DropboxSupport,06_06_2022_23_05,"@116030 Hey Justin, apologies for the delay, are you still unable to access the eBook? https://t.co/XvZzHN3eu0 Let us know, thanks!"
116030,06_06_2022_23_05,@116029 FYI was on your solutions/marketing of DB Business and noticed the read the eBook link is broken... https://t.co/aRWCfgYMoO
DropboxSupport,06_06_2022_23_05,"@116031 We understand, and we’ve added your comments to your suggestion. Cheers!"
116031,06_06_2022_23_05,"@DropboxSupport Please do! “As a user, I would like to hide irrelevant or old contacts from suggestions, in order to make room for relevant ones.” :)"
DropboxSupport,06_06_2022_23_05,"@116031 Hi there, currently it isn’t possible to hide the suggestion list, however we can certainly forward this request to our dev team!"
116031,06_06_2022_23_05,"@DropboxSupport How do I remove the suggested contacts in ""Invite people to Paper"" column? I don't have any third party contacts connected."
VirginAtlantic,06_06_2022_23_05,"@116032 Hey James, when did you fly? ^E"
116032,06_06_2022_23_05,@VirginAtlantic can you please update my tier points on my account - thanks.
VirginAtlantic,06_06_2022_23_05,@116033 Sorry to hear this process was so frustrating. ^N
116033,06_06_2022_23_05,"@VirginAtlantic 3 times over an hour on the phone, let’s just hope everything is correct now I’d hate for something to be wrong for a special occasion"
VirginAtlantic,06_06_2022_23_05,@116033 Have you spoken to our team on the phone about this? What were you advised? ^H
116033,06_06_2022_23_05,"3rd call to @VirginAtlantic hoping everything is sorted, booked flights for 4 guys and 2 peoples details were incorrect should I be worried?"
BofA_Help,06_06_2022_23_05,@116034 You can send us a message by clicking the link below. ^cr https://t.co/CoOXedUuUC
116034,06_06_2022_23_05,"@116035 refuses to provide me with a copy of my contract, even though they’re quoting it to justify stealing $800 from me"
BofA_Help,06_06_2022_23_05,"@116034 Hello, we'd like to know more about your Twitter post. Please send us additional details about your concerns. Thank you. ^cr"
BofA_Help,06_06_2022_23_05,@116036 Thank you for taking the time to speak with us today. We appreciate the opportunity to help. ^mg
116036,06_06_2022_23_05,@BofA_Help Thanks
BofA_Help,06_06_2022_23_05,@116036 Thank you for your patience. We'll call you shortly. ^mg
BofA_Help,06_06_2022_23_05,@116037 I made another try to call you and reached your voice-mail. Please return my call at the # given if you still need help. ^kl
116037,06_06_2022_23_05,@BofA_Help Anytime after 12noon today or anytime tomorrow
BofA_Help,06_06_2022_23_05,@116037 We’re here from 8:00 am-9:00 pm ET Monday-Friday and 11:00 am-8:00pm ET Saturday. When is the best time to reach you? ^ra
116037,06_06_2022_23_05,@BofA_Help Whenever your ready
BofA_Help,06_06_2022_23_05,@116037 I am sorry I missed your call. Please let me know when you are able to talk about your information. ^kl
116037,06_06_2022_23_05,"@BofA_Help Okay, I'm currently on the middle of something, I will return your call shortly thank you"
BofA_Help,06_06_2022_23_05,@116037 I called and left a message for you. Please return my call at the number provided or DM me when you are available.  ^kl
116037,06_06_2022_23_05,"@BofA_Help Thank you because I just was beginning to become comfortable with you all, Everything was going great"
BofA_Help,06_06_2022_23_05,@116037 I'm sorry to see this and want to see how I can help. I will give you a call at the number you previously sent. ^kt
116037,06_06_2022_23_05,"@116035 the the woman says, were regulated by the government they won't let us help you..She literally just blamed the government"
BofA_Help,06_06_2022_23_05,"@116038 Hello, do you have any account related concerns that we can help with? Our Social Care Team is here if you need us. Thanks. ^cr"
116038,06_06_2022_23_05,@116035 i have a question
XboxSupport,06_06_2022_23_05,"@116039 Hi, can you direct message us and explain what issue you need assistance with? ^RM"
116039,06_06_2022_23_05,@XboxSupport week 2 licence wont' validate my minecraft for windows 10 https://t.co/GbY14vW0FP
XboxSupport,06_06_2022_23_05,"@116040 Hello! Most of the time connecting via ethernet can help, or restarting the console, router, and download. ^CO"
116040,06_06_2022_23_05,"@XboxSupport Connection via Ethernet not possible where he is, also there's no file to delete &amp; restart as said before he's done a power cycle?"
XboxSupport,06_06_2022_23_05,"@116040 Canceling the download, powering down the console, unplugging for five full minutes (this clears the cache), and try again. ^CO"
116040,06_06_2022_23_05,"@XboxSupport my brother can't install Forza 7 on his Xbox one, he's already tried a power cycle, what can he do please?"
XboxSupport,06_06_2022_23_05,@116041 to express your interest in seeing those games added to back compat!  2 ^JS
116041,06_06_2022_23_05,@XboxSupport who would I message for backwards compatible game suggestions 2 great games have sat on the fourms since 2015 https://t.co/Hv4lYsUelZ
XboxSupport,06_06_2022_23_05,@116041 Thanks for reaching out! Casting your votes on https://t.co/sGGIDmeHwt is the best way  1 ^JS
XboxSupport,06_06_2022_23_05,"@116042 Hey there! We'd like to DM so we can collect more info, let us know when you're Following us? https://t.co/FIM7Ks4Co5  ^FH"
116043,06_06_2022_23_05,@XboxSupport @116042 Yeah have to reboot game when animals become ill and the strikes and crisis come way to quickly
116044,06_06_2022_23_05,"@XboxSupport @116042 Yes there are many bugs in this game, especially when you try and release animals"
116042,06_06_2022_23_05,"@99 Hi, Will you be fixing the bugs and crashes on Zoo Tycoon: Ultimate Animal Collection Xbox One Version?

Many Thanks"
XboxSupport,06_06_2022_23_05,"@116045 We'd be happy to help, but we could use more info. Could you follow &amp; DM @Xboxsupport with your Gamertag &amp; some details? ^EZ"
116045,06_06_2022_23_05,"@XboxSupport I bought Dying Light from the xbox store and when I play it, it continuously freezes. I want my money back unless we can fix"
XboxSupport,06_06_2022_23_05,@116046 You would need to have an active Game Pass subscription during the promo period to qualify: https://t.co/fMB5Tw1NOB  ^EZ
116046,06_06_2022_23_05,@XboxSupport do you need a active game pass in order to receive the mystery gift from the giveaway?
XboxSupport,06_06_2022_23_05,"@116047 Hi! We're an English support team, if that's ok, we're happy to help! Or our chat team can help: https://t.co/qSynA8s7TB ^CO"
116047,06_06_2022_23_05,J'ai un pb quelqu'un a payer des jeux avec ma cb @XboxSupport 😓 pour acheter 210e de jeux...
XboxSupport,06_06_2022_23_05,"@116048 Hello, thanks for reaching out to us. Can you DM us your gamertag and details of what you're seeing? ^CO"
116048,06_06_2022_23_05,"@XboxSupport On Skype I can hear people, but they can't hear me. I've tried different controllers/mic &amp; uninstalling. Please help?"
AirAsiaSupport,06_06_2022_23_05,"@116049 Hi Firdaus, we has respond you via DM,see you there! - Anwar"
116049,06_06_2022_23_05,@AirAsiaSupport what happen to your system. I could not sent my refund info to e form
AzureSupport,06_06_2022_23_05,@116050 Can you post this question to our forum here: https://t.co/923oV1HGoY and send us the link? We'd like to engage an engineer. ^TW
116050,06_06_2022_23_05,@azuresupport #azhelp: why i can't use %env-variable% syntax in my function.json? Trying to deploy Function App but that syntax not working.
AzureSupport,06_06_2022_23_05,"@116051 Are these the steps you followed: https://t.co/FYZZn3qGt8 ? Please DM us your sub ID. ^JN
 https://t.co/EYpi1mphGM"
AzureSupport,06_06_2022_23_05,"@116051 Sorry to hear your having trouble. Could you direct message us with the steps you are following? ^JN
 https://t.co/EYpi1mphGM"
AzureSupport,06_06_2022_23_05,@116052 Excellent! Let us know if you run into any trouble. We're here to help! ^TW
116052,06_06_2022_23_05,"@AzureSupport Thanks for your help:) I've actually decided to use Azure Blob Storage instead, so I don't have to set up a service principal as a non-admin"
AzureSupport,06_06_2022_23_05,@116052 Hello! We have some documentation that may help: https://t.co/WvN5SLVlHj Let us know if we can assist further! ^MH
116052,06_06_2022_23_05,@azuresupport #azTechHelp Is there an easy way to transfer files from Azure File Store to Azure Data Lake?
AlaskaAir,06_06_2022_23_05,@116053 Happy to hear our hardworking team took such good care of you. Thank you for choosing to fly with us. -Kimball
116053,06_06_2022_23_05,Thank you @AlaskaAir for listening and helping when I had an issue today. Great customer service.
AlaskaAir,06_06_2022_23_05,@116054 That's great to hear! Thanks for being such an awesome guest with us! -Sean
116054,06_06_2022_23_05,Wow--great customer service @AlaskaAir! Thank you!
ArgosHelpers,06_06_2022_23_05,@116055 I'm sorry to hear this. Please could you send a DM with your order number so I can look into this for you? - Paul
116055,06_06_2022_23_05,@ArgosHelpers Terrible delivery service even worse paying extra for a time slot #3hourslate
Postmates_Help,06_06_2022_23_05,"@116056 Hey there! DM us the email on your account, please. We can help!"
116056,06_06_2022_23_05,"Hey @116057, if I recieve the wrong order and reported it to support...should I place a new order? Or what...?"
Postmates_Help,06_06_2022_23_05,@116058 So sorry for the trouble! Please DM us your account email so we can look into this.
116058,06_06_2022_23_05,@Postmates_Help order was messed up. Got a $5 refund when I deserve my money back. Food tasted horrible.
Morrisons,06_06_2022_23_05,"@116059 Hi Wendss, sorry to hear this! Please DM me which store you use and I'll look into this :) - Kirsty"
116059,06_06_2022_23_05,@Morrisons why have you discontinued your tinned ravioli in bolognese sauce. It was better than any other!! 😢
Morrisons,06_06_2022_23_05,"@116060 Hi there, sorry to hear this :( I'll be sure to pass on your feedback :) - Kirsty"
116060,06_06_2022_23_05,"Just so @Morrisons know, orange donuts were a TERRIBLE idea."
AskTarget,06_06_2022_23_05,@116061 Our apologies for any inconvenience. DM us with more details &amp; store location. https://t.co/bEVlRVM6db
116061,06_06_2022_23_05,@AskTarget Thank you for responding. I look forward to working with you.
116061,06_06_2022_23_05,@116062 has disgustingly mismanaged the released of the Crota Pops. You should be ashamed of your distribution and retail staff.
AskTarget,06_06_2022_23_05,@116063 That looks a little melted. DM us with more details for us to help. https://t.co/bEVlRVM6db
116063,06_06_2022_23_05,How can I give this out?  Wtf @116062 https://t.co/OElDh05lPG
AskTarget,06_06_2022_23_05,@116064 Great Suggestion! We have shared your comments with our Marketing Team for review. Thanks for tweeting us.
116064,06_06_2022_23_05,"@AskTarget Looks like Marketing Team didn't think that was a good idea. What is the motto for @116062 again? Something like ""lol Fuck Our Customers""?"
116064,06_06_2022_23_05,@116065 @AskTarget @116062 Can you do something similar for the Crota Funko Pop? This proves that you're capable of letting us know in advance when a limited product will go up for sale. You can still redeem yourselves for that fiasco of a launch. Please don't just randomly throw it up.
116065,06_06_2022_23_05,SNES Classic will go up for Redcard members only at Target dot com at 7 AM PT November 1st https://t.co/5O5WXcpky2 https://t.co/hnRuz3CwmX
GoDaddyHelp,06_06_2022_23_05,"@116066 Yes, we have chat. Live chat is available on the help page Monday through Friday from 5am - 6pm Arizona time in the US."
116066,06_06_2022_23_05,@GoDaddyHelp hey godday do you have a chat support?? I had an issue while im tryin to sync merchandise from printfull to my woocommerce ..
GoDaddyHelp,06_06_2022_23_05,@116067 2/2 Here is an article that explains why that happens: https://t.co/DcHLy9Eiw4 ^Heather
116067,06_06_2022_23_05,@GoDaddyHelp Thank you!
GoDaddyHelp,06_06_2022_23_05,@116067 You're most welcome. :) ^Heather
116067,06_06_2022_23_05,@GoDaddyHelp Shit wrong one https://t.co/Fdvwd8vT22
GoDaddyHelp,06_06_2022_23_05,"@116067 Thanks. It looks like that domain isn't registered with us, though. Do you have any domains with GoDaddy?^W https://t.co/rYq25s2Pfj"
116067,06_06_2022_23_05,@GoDaddyHelp https://t.co/qbjuBeYovF
GoDaddyHelp,06_06_2022_23_05,"@116067 Hi, that's not something we do. If your domain is public, spammers have access to your contact info. What's the domain? ^KJ"
116067,06_06_2022_23_05,@116068 I'd appreciate it if you wouldn't sell my personal info to other companies. You had no right and i'll be reporting you to the BBB
GoDaddyHelp,06_06_2022_23_05,@116067 Ok I do see you registered without privacy. That means your information is public in the whois database. 1/2
GoDaddyHelp,06_06_2022_23_05,@116069 2/2 be transparent about the fix. You can still turn it back on. ^Heather
116070,06_06_2022_23_05,"@GoDaddyHelp @116069 Lies, i set mine to off myself, it was no error or mistake."
116069,06_06_2022_23_05,@116068 I specifically turned off auto renew. Why the hell did you feel the need to change it? This is shady as hell. https://t.co/HPICov83MV
GoDaddyHelp,06_06_2022_23_05,@116069 I'm sorry you feel that way. It was a mistake that it wasn't setup automatically. A lot of people count on it. We emailed to 1/2
CenturyLinkHelp,06_06_2022_23_05,"@116071 I apologize for the poor experience you've had with us. If there is anything that I can help you with, please DM me. -Lexie"
116071,06_06_2022_23_05,@116072 really knows how to celebrate Halloween. I have basically no internet 😠 #centurylinksucks
CenturyLinkHelp,06_06_2022_23_05,"@116071 Please let us know if you have any questions, just DM us your account number and any questions you may have. -Lexie"
116071,06_06_2022_23_05,I'm trying to run a speed test but all it says is Network Communication Error after briefly showing 0.02 Mbps #centurylink #centurylinksucks
CenturyLinkHelp,06_06_2022_23_05,"@116073 I apologize for the poor experience you've had with us. If there is anything that I can help you with, please DM me. -Lexie"
116073,06_06_2022_23_05,@CenturyLinkHelp Change your hold music from being a 2 min loop for the love of god.
116073,06_06_2022_23_05,@CenturyLinkHelp And give your call center people a raise for having to deal w/the nonsense created by your robot system that randomly cancels installations.
116073,06_06_2022_23_05,".@116072 I heard you guys were bad; after an install no-show &amp; 25+ min of being on hold, I'm thinking the rumors were true."
CenturyLinkHelp,06_06_2022_23_05,"@116074 Hello Venessa, I would be more than happy to assist you. Please send me a DM. -Katie"
116074,06_06_2022_23_05,@116072 You are the worst! I have to wait three days to get my internet fixed...
AskPapaJohns,06_06_2022_23_05,@116075 Hi there! This would be a question for your local store. Thanks for your time! 😊
116075,06_06_2022_23_05,Aye @116076 why y’all don’t deliver to Xavier University of Louisiana??? What’s beef??
AskPapaJohns,06_06_2022_23_05,@116077 We hate to hear this. Can you DM us what happened?
116077,06_06_2022_23_05,@AskPapaJohns I sure can!
AskPapaJohns,06_06_2022_23_05,@116077 Thanks!
116077,06_06_2022_23_05,I get that it’s Halloween but this dude at the Canonsburg @116076 is flipping out. Literally screaming. He said he’s the general manager😳
AskPapaJohns,06_06_2022_23_05,@116078 We're so sorry your order is running late! Please DM us your contact info and store address. Thanks!
116078,06_06_2022_23_05,@116076 ordered pizza for a 515 delivery.  Still waiting on it.  Having a halloween party.
UPSHelp,06_06_2022_23_05,@116079 Please DM us your tracking and contact number via the link so we can look into this for you. ^CH https://t.co/wKJHDXWGRQ
116079,06_06_2022_23_05,"Hey @81 you just gained a customer @115817 lost my package I paid for overnight first am delivery, they ""lost"" it hope you can do better"
UPSHelp,06_06_2022_23_05,@116080 Is there something that we can assist you with? DM our team ^WS https://t.co/wKJHDXWGRQ
116080,06_06_2022_23_05,"@UPSHelp Nope, I’ve got my package thanks"
116080,06_06_2022_23_05,Saved my fucking time by just checking my mailbox because sure enough I got the UPS letter saying my package was in oh my gOD
116080,06_06_2022_23_05,"I legitimately spent an hour trying to deal with USPS cause I had 1 question and they just hung up on me or wasn’t any help, I could have"
AmazonHelp,06_06_2022_23_05,@116081 Hey Georgia! Sorry you haven't received your package. We'd love to help! What does the current tracking say on your order? ^AJ
116081,06_06_2022_23_05,@AmazonHelp but I can’t find the options to cancel or re-order?
AmazonHelp,06_06_2022_23_05,@116081 I'm sorry for the delay! We'd like to take a further look into this with you! Please reach us here: https://t.co/hApLpMlfHN ^AG
116081,06_06_2022_23_05,@AmazonHelp Thanks for quick response. Pic attached. https://t.co/yNhYE638YS
116081,06_06_2022_23_05,@115821 my order hasn’t arrived (it was due 14th October). Can you help?
AmazonHelp,06_06_2022_23_05,@116082 Canceling your Prime membership can be done here:https://t.co/MlOxxuNX7N. You'll be shown your estimated refund there. ^SK
116082,06_06_2022_23_05,@AmazonHelp Thats the thing I told customer service. I created a new email address for the Prime trial and forgot it. What can I do so I'm not charged?
AmazonHelp,06_06_2022_23_05,@116082 Hey Corey! Even on the new account you made you can turn of the auto renew through the same link ^SK posted for you. ^AJ
116082,06_06_2022_23_05,@AmazonHelp You have to log in. I don't remember the email address I used. Can you look up the account by my bank information?
AmazonHelp,06_06_2022_23_05,@116082 It would be best if you get in touch with us by phone or chat.use this link to do so:  https://t.co/hApLpMlfHN ^CH
116082,06_06_2022_23_05,@AmazonHelp They sent me the email I sent you guys that said I wasn't gonna be charged. He must have been able to look up my account a different way.
116082,06_06_2022_23_05,@AmazonHelp I tried my phone number but I didnt have a mobile account. I went through this for 2 hours on the phone with someone.
116082,06_06_2022_23_05,@AmazonHelp I called customer service and was told my membership wouldn't be renewed. I was just charged today. How do I get a refund? https://t.co/SeoQUsA0VA
AmazonHelp,06_06_2022_23_05,@116083 I'm sorry to hear you're not able to access your account. Please use this link instead to contact us: https://t.co/zYVX1Qi29G. ^LH
116083,06_06_2022_23_05,"@AmazonHelp I have tried. It’s not allowing me to access my account to cancel my membership, I haven’t even used prime in almost 3 months."
AmazonHelp,06_06_2022_23_05,@116083 Hmm... We'd like to take a better look at this with you. Please reach us via phone/chat here: https://t.co/JzP7hlA23B ^KP
116083,06_06_2022_23_05,"@115821 being charged for amazon prime &amp; when I go to cancel it, it’s saying I’m not a member😠😠😠"
AmazonHelp,06_06_2022_23_05,@116084 I'm sorry you've encountered an unknown charge! We'd be happy to look into this with you here: https://t.co/hApLpMlfHN ^BL
116084,06_06_2022_23_05,@AmazonHelp where can I chat with a support member for a false charge
AmazonHelp,06_06_2022_23_05,@116085 Thanks for reaching out to us! You can find info on adding household members here: https://t.co/i3uumZzaok ^MO
116085,06_06_2022_23_05,"@AmazonHelp So essentially still two separate accounts, just sharing payment info? I don't want my family to see my Christmas shopping list 😂"
116085,06_06_2022_23_05,@AmazonHelp if I add another adult to my Amazon household (with their own account) can they see my wishlists/photos/order history?
